Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.example-workshop.json	16749	-	0	0	0	0	0	0	11	207	0	0	0	0	0	0	0	1	0	0	160	227	0	0	0	8	0	1
fsh-generated/resources/CodeSystem-ICD11.json	6143	11	1	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	55	2908	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-IMMZConcepts.json	12858	10	0	0	0	0	0	0	2	25	0	0	0	0	0	0	0	0	0	0	87	144	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	1203	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	23	67	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToAdministrativeGender.json	2569	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	25	41	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToICD11.json	6129	8	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	1	0	0	43	55	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToLOINC.json	6330	8	0	0	0	0	0	0	1	965	0	0	0	0	0	0	0	0	0	0	45	39	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToSNOMED.json	8725	9	1	0	0	0	0	0	1	5986	0	0	0	0	0	0	0	0	0	0	57	45	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ARVDrugs-values.json	1018	6	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	19	4506	0	1	0	1	0	0
fsh-generated/resources/ValueSet-AllVaccineTypes.json	1797	6	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	21	251	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Birthweight-values.json	1133	7	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	19	198	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVstatus-values.json	1308	6	0	0	0	0	0	0	1	85	0	0	0	0	0	0	0	0	0	0	19	146	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.C.DE5.json	1110	6	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	18	92	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE10.json	1045	6	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	18	92	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE1VS.json	942	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	95	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE5VS.json	1411	6	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	25	117	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D4.DE161.json	1348	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	95	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ.Z.DE9.json	1972	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	30	74	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Immunocompromised-values.json	993	6	0	0	0	0	0	0	1	66	0	0	0	0	0	0	0	0	0	0	28	154	0	0	0	0	0	0
fsh-generated/resources/ValueSet-LiveAttenuatedVaccines.json	1870	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	28	110	0	0	0	1	0	0
fsh-generated/resources/ValueSet-Negativetestresult-values.json	887	7	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	20	106	0	0	0	0	0	0
fsh-generated/resources/ValueSet-PositiveTestResult-values.json	893	6	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	18	111	0	0	0	1	0	0
fsh-generated/resources/ValueSet-SGImmunizationStatusCodes.json	1120	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	22	77	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSMeaslesVaccineProducts.json	813	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	53	0	0	1	0	0	0
fsh-generated/resources/ValueSet-VaccineTypes.json	1588	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	67	0	0	0	1	0	0
fsh-generated/resources/ValueSet-pregnancystatus-values.json	1893	4	1	0	0	0	0	0	1	113	0	0	0	0	0	0	0	0	0	0	19	197	0	0	0	0	0	0
fsh-generated/resources/ValueSet-sgcountry.json	808	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	1096	0	0	0	0	0	0
